PolicyID,TotalHedgeGains,Excel,Difference
2262,1923.914719,1923.91472,-5.91796E-07
2368,1459.389306,1459.389307,-5.88389E-07
2792,1080.896944,1080.896945,-5.86456E-07
1796,1085.366566,1085.366567,-5.81675E-07
1680,1325.480935,1325.480936,-5.78378E-07
948,3966.916504,3966.916505,-5.76891E-07
504,3807.120776,3807.120777,-5.7633E-07
1026,2122.639777,2122.639778,-5.76139E-07
2768,1768.930795,1768.930796,-5.73704E-07
1318,1580.851453,1580.851454,-5.73277E-07
2402,1377.430445,1377.430446,-5.7276E-07
2264,1965.459614,1965.459615,-5.7159E-07
1950,18048.6003,18048.6003,-5.70497E-07
2236,23883.98225,23883.98225,-5.69795E-07
1372,4671.146785,4671.146786,-5.62946E-07
952,5445.912904,5445.912905,-5.61618E-07
1874,31508.87098,31508.87098,-5.50168E-07
1528,1305.142479,1305.14248,-5.49636E-07
348,1459.657304,1459.657305,-5.44207E-07
2604,4249.473074,4249.473075,-5.43955E-07
1812,6748.817705,6748.817706,-5.42569E-07
2696,551.520448,551.5204485,-5.34957E-07
1324,595.127223,595.1272235,-5.34664E-07
1664,943.263446,943.2634465,-5.34519E-07
1338,4844.437455,4844.437456,-5.2924E-07
1850,3007.916137,3007.916138,-5.2076E-07
586,2024.818309,2024.81831,-5.16599E-07
1052,3130.684618,3130.684619,-5.09862E-07
176,91.295389,91.29538951,-5.09492E-07
1834,241.545528,241.5455285,-5.08828E-07
1986,4393.718448,4393.718449,-5.08786E-07
1656,115.96733,115.9673305,-5.071E-07
288,46.400825,46.4008255,-5.02252E-07
1764,6604.015616,6604.015617,-5.01723E-07
128,317.230364,317.2303645,-4.94526E-07
1104,926.788568,926.7885685,-4.92483E-07
648,270.983853,270.9838535,-4.86504E-07
912,2691.829138,2691.829138,-4.86377E-07
1254,2249.035367,2249.035367,-4.8521E-07
1682,128.803521,128.8035215,-4.83326E-07
2352,5473.244185,5473.244185,-4.8179E-07
248,2471.26152,2471.26152,-4.79801E-07
1166,1556.899948,1556.899948,-4.77307E-07
160,105.42327,105.4232705,-4.77203E-07
1430,133.472307,133.4723075,-4.76005E-07
2266,1821.26864,1821.26864,-4.74247E-07
2736,2624.54369,2624.54369,-4.73571E-07
1334,1596.678029,1596.678029,-4.72241E-07
2082,2326.791832,2326.791832,-4.70632E-07
1012,914.365343,914.3653435,-4.68986E-07
1640,456.772024,456.7720245,-4.68499E-07
814,3118.650404,3118.650404,-4.68278E-07
420,859.617775,859.6177755,-4.67763E-07
2672,91.201734,91.20173447,-4.66602E-07
2050,418.143606,418.1436065,-4.66523E-07
1076,336.560346,336.5603465,-4.66073E-07
32,22.708086,22.70808647,-4.65653E-07
2674,113.988101,113.9881015,-4.61236E-07
1100,564.364411,564.3644115,-4.61139E-07
2364,988.259314,988.2593145,-4.60715E-07
228,6.357974,6.357974449,-4.4948E-07
1690,173.260834,173.2608344,-4.48292E-07
1536,15304.4939,15304.4939,-4.45971E-07
1744,4196.313226,4196.313226,-4.43455E-07
852,101.788801,101.7888014,-4.41708E-07
254,73.299901,73.29990144,-4.39248E-07
2598,4911.518645,4911.518645,-4.36907E-07
